Product line,Unit price,Quantity,Tax 5%,Total,Payment
Health and beauty,78,4,15.6,327.6,Cash
Fashion accessories,93,2,9.3,195.3,Credit card
Fashion accessories,18,4,3.6,75.6,Credit card
Sports and travel,63,3,9.45,198.45,Ewallet
Health and beauty,52,4,10.4,218.4,Credit card
Food and beverages,52,3,7.8,163.8,Cash
Sports and travel,43,5,10.75,225.75,Ewallet
Fashion accessories,60,10,30,630,Cash
Health and beauty,15,5,3.75,78.75,Cash
Health and beauty,47,6,14.1,296.1,Credit card
Home and lifestyle,24,7,8.4,176.4,Ewallet
Sports and travel,46,1,2.3,48.3,Cash
Sports and travel,75,3,11.25,236.25,Ewallet
Sports and travel,97,3,14.55,305.55,Cash
Health and beauty,15,3,2.25,47.25,Credit card
Food and beverages,52,3,7.8,163.8,Credit card
Sports and travel,47,9,21.15,444.15,Ewallet
Fashion accessories,37,5,9.25,194.25,Cash
Home and lifestyle,70,2,7,147,Ewallet
Electronic accessories,83,1,4.15,87.15,Ewallet
Fashion accessories,65,1,3.25,68.25,Credit card
Food and beverages,78,10,39,819,Ewallet
Sports and travel,55,6,16.5,346.5,Ewallet
Fashion accessories,52,7,18.2,382.2,Cash
Home and lifestyle,32,4,6.4,134.4,Cash
Fashion accessories,54,7,18.9,396.9,Ewallet
Food and beverages,50,4,10,210,Credit card
Fashion accessories,31,1,1.55,32.55,Ewallet
Food and beverages,58,2,5.8,121.8,Ewallet
Electronic accessories,29,1,1.45,30.45,Credit card
Food and beverages,99,9,44.55,935.55,Cash
Fashion accessories,93,3,13.95,292.95,Cash
Sports and travel,81,1,4.05,85.05,Credit card
Food and beverages,67,10,33.5,703.5,Ewallet
Sports and travel,39,9,17.55,368.55,Ewallet
Sports and travel,73,6,21.9,459.9,Cash
Electronic accessories,88,5,22,462,Ewallet
Food and beverages,99,6,29.7,623.7,Credit card
Fashion accessories,43,6,12.9,270.9,Ewallet
Food and beverages,72,3,10.8,226.8,Credit card
Food and beverages,92,1,4.6,96.6,Cash
Home and lifestyle,95,7,33.25,698.25,Credit card
Fashion accessories,83,10,41.5,871.5,Credit card
Fashion accessories,91,1,4.55,95.55,Cash
Food and beverages,79,2,7.9,165.9,Cash
Sports and travel,61,2,6.1,128.1,Ewallet
Health and beauty,83,10,41.5,871.5,Cash
Home and lifestyle,53,3,7.95,166.95,Ewallet
Fashion accessories,12,1,0.6,12.6,Credit card
Sports and travel,64,10,32,672,Credit card
Electronic accessories,78,3,11.7,245.7,Ewallet
Food and beverages,84,2,8.4,176.4,Credit card
Home and lifestyle,100,3,15,315,Ewallet
Food and beverages,80,3,12,252,Credit card
Health and beauty,66,10,33,693,Credit card
Health and beauty,29,7,10.15,213.15,Credit card
Electronic accessories,46,1,2.3,48.3,Cash
Food and beverages,18,5,4.5,94.5,Cash
Fashion accessories,52,3,7.8,163.8,Ewallet
Food and beverages,99,3,14.85,311.85,Ewallet
Electronic accessories,89,8,35.6,747.6,Ewallet
Electronic accessories,56,2,5.6,117.6,Ewallet
Food and beverages,73,8,29.2,613.2,Credit card
Electronic accessories,12,5,3,63,Ewallet
Home and lifestyle,19,9,8.55,179.55,Ewallet
Health and beauty,70,6,21,441,Cash
Fashion accessories,34,1,1.7,35.7,Cash
Sports and travel,15,2,1.5,31.5,Cash
Electronic accessories,25,10,12.5,262.5,Cash
Electronic accessories,76,5,19,399,Ewallet
Health and beauty,56,6,16.8,352.8,Cash
Home and lifestyle,73,10,36.5,766.5,Cash
Sports and travel,37,9,16.65,349.65,Ewallet
Fashion accessories,60,4,12,252,Credit card
Electronic accessories,16,3,2.4,50.4,Credit card
Electronic accessories,100,1,5,105,Credit card
Fashion accessories,88,3,13.2,277.2,Ewallet
Sports and travel,28,5,7,147,Cash
Fashion accessories,55,1,2.75,57.75,Credit card
Sports and travel,43,3,6.45,135.45,Cash
Sports and travel,17,7,5.95,124.95,Credit card
Fashion accessories,59,6,17.7,371.7,Credit card
Food and beverages,87,10,43.5,913.5,Credit card
Sports and travel,99,2,9.9,207.9,Cash
Fashion accessories,49,4,9.8,205.8,Ewallet
Food and beverages,58,3,8.7,182.7,Ewallet
Health and beauty,18,4,3.6,75.6,Ewallet
Health and beauty,48,6,14.4,302.4,Ewallet
Sports and travel,41,2,4.1,86.1,Credit card
Fashion accessories,56,10,28,588,Ewallet
Food and beverages,93,2,9.3,195.3,Cash
Health and beauty,73,3,10.95,229.95,Ewallet
Health and beauty,34,8,13.6,285.6,Credit card
Electronic accessories,45,10,22.5,472.5,Credit card
Fashion accessories,84,2,8.4,176.4,Cash
Sports and travel,64,7,22.4,470.4,Credit card
Food and beverages,73,4,14.6,306.6,Cash
Health and beauty,59,10,29.5,619.5,Ewallet
Food and beverages,49,6,14.7,308.7,Ewallet
Electronic accessories,39,1,1.95,40.95,Cash
Sports and travel,35,1,1.75,36.75,Credit card
Fashion accessories,49,6,14.7,308.7,Ewallet
Fashion accessories,21,2,2.1,44.1,Ewallet
Sports and travel,23,6,6.9,144.9,Ewallet
Home and lifestyle,49,2,4.9,102.9,Credit card
Sports and travel,65,2,6.5,136.5,Credit card
Home and lifestyle,64,10,32,672,Cash
Sports and travel,73,2,7.3,153.3,Cash
Food and beverages,67,3,10.05,211.05,Cash
Sports and travel,70,9,31.5,661.5,Cash
Food and beverages,55,7,19.25,404.25,Ewallet
Health and beauty,49,10,24.5,514.5,Cash
Fashion accessories,73,7,25.55,536.55,Cash
Food and beverages,53,9,23.85,500.85,Cash
Home and lifestyle,87,5,21.75,456.75,Cash
Sports and travel,27,4,5.4,113.4,Ewallet
Home and lifestyle,62,4,12.4,260.4,Ewallet
Electronic accessories,70,9,31.5,661.5,Credit card
Home and lifestyle,98,10,49,1029,Ewallet
Fashion accessories,60,8,24,504,Ewallet
Food and beverages,32,3,4.8,100.8,Credit card
Fashion accessories,20,10,10,210,Credit card
Health and beauty,80,9,36,756,Cash
Home and lifestyle,88,9,39.6,831.6,Cash
Health and beauty,72,7,25.2,529.2,Cash
Electronic accessories,43,4,8.6,180.6,Ewallet
Food and beverages,69,1,3.45,72.45,Cash
Fashion accessories,16,8,6.4,134.4,Ewallet
Sports and travel,26,3,3.9,81.9,Ewallet
Food and beverages,81,6,24.3,510.3,Cash
Home and lifestyle,76,4,15.2,319.2,Ewallet
Electronic accessories,78,9,35.1,737.1,Ewallet
Health and beauty,14,9,6.3,132.3,Ewallet
Fashion accessories,99,8,39.6,831.6,Ewallet
Health and beauty,36,5,9,189,Credit card
Fashion accessories,71,7,24.85,521.85,Ewallet
Electronic accessories,12,3,1.8,37.8,Credit card
Fashion accessories,45,3,6.75,141.75,Credit card
Fashion accessories,17,6,5.1,107.1,Credit card
Fashion accessories,26,7,9.1,191.1,Cash
Sports and travel,91,9,40.95,859.95,Cash
Home and lifestyle,44,3,6.6,138.6,Credit card
Food and beverages,37,7,12.95,271.95,Cash
Food and beverages,23,4,4.6,96.6,Ewallet
Health and beauty,29,8,11.6,243.6,Cash
Home and lifestyle,56,3,8.4,176.4,Credit card
Sports and travel,70,10,35,735,Credit card
Fashion accessories,97,4,19.4,407.4,Ewallet
Home and lifestyle,52,7,18.2,382.2,Cash
Fashion accessories,22,4,4.4,92.4,Credit card
Health and beauty,56,3,8.4,176.4,Ewallet
Fashion accessories,20,1,1,21,Ewallet
Electronic accessories,76,7,26.6,558.6,Ewallet
Food and beverages,54,1,2.7,56.7,Ewallet
Health and beauty,82,10,41,861,Credit card
Home and lifestyle,81,7,28.35,595.35,Credit card
Electronic accessories,59,10,29.5,619.5,Ewallet
Electronic accessories,92,8,36.8,772.8,Ewallet
Home and lifestyle,94,9,42.3,888.3,Cash
Home and lifestyle,56,7,19.6,411.6,Cash
Food and beverages,85,1,4.25,89.25,Ewallet
Sports and travel,72,2,7.2,151.2,Ewallet
Home and lifestyle,38,2,3.8,79.8,Ewallet
Sports and travel,32,8,12.8,268.8,Credit card
Food and beverages,38,1,1.9,39.9,Cash
Fashion accessories,65,10,32.5,682.5,Credit card
Home and lifestyle,11,5,2.75,57.75,Credit card
Home and lifestyle,12,9,5.4,113.4,Credit card
Health and beauty,81,7,28.35,595.35,Cash
Fashion accessories,22,4,4.4,92.4,Ewallet
Food and beverages,27,5,6.75,141.75,Credit card
Electronic accessories,17,10,8.5,178.5,Ewallet
Home and lifestyle,73,5,18.25,383.25,Ewallet
Fashion accessories,85,3,12.75,267.75,Ewallet
Fashion accessories,97,8,38.8,814.8,Credit card
Electronic accessories,36,8,14.4,302.4,Ewallet
Home and lifestyle,97,6,29.1,611.1,Cash
Food and beverages,19,10,9.5,199.5,Ewallet
Food and beverages,55,4,11,231,Ewallet
Food and beverages,77,10,38.5,808.5,Credit card
Electronic accessories,72,10,36,756,Credit card
Fashion accessories,64,8,25.6,537.6,Ewallet
Health and beauty,11,5,2.75,57.75,Ewallet
Health and beauty,56,4,11.2,235.2,Credit card
Home and lifestyle,95,8,38,798,Ewallet
Fashion accessories,76,3,11.4,239.4,Credit card
Sports and travel,14,6,4.2,88.2,Cash
Electronic accessories,96,4,19.2,403.2,Cash
Home and lifestyle,11,6,3.3,69.3,Cash
Sports and travel,96,4,19.2,403.2,Ewallet
Health and beauty,86,7,30.1,632.1,Credit card
Sports and travel,68,7,23.8,499.8,Ewallet
Food and beverages,52,1,2.6,54.6,Credit card
Food and beverages,66,2,6.6,138.6,Cash
Food and beverages,29,5,7.25,152.25,Credit card
Health and beauty,65,7,22.75,477.75,Credit card
Sports and travel,93,1,4.65,97.65,Cash
Sports and travel,25,5,6.25,131.25,Cash
Electronic accessories,88,9,39.6,831.6,Ewallet
Health and beauty,22,8,8.8,184.8,Cash
Sports and travel,95,4,19,399,Ewallet
Fashion accessories,31,1,1.55,32.55,Credit card
Home and lifestyle,44,8,17.6,369.6,Cash
Health and beauty,10,5,2.5,52.5,Ewallet
Electronic accessories,75,7,26.25,551.25,Credit card
Electronic accessories,72,8,28.8,604.8,Ewallet
Health and beauty,11,5,2.75,57.75,Credit card
Health and beauty,60,3,9,189,Credit card
Sports and travel,59,7,20.65,433.65,Ewallet
Fashion accessories,46,1,2.3,48.3,Credit card
Health and beauty,69,4,13.8,289.8,Credit card
Home and lifestyle,97,10,48.5,1018.5,Credit card
Electronic accessories,93,7,32.55,683.55,Credit card
Electronic accessories,47,2,4.7,98.7,Credit card
Fashion accessories,27,2,2.7,56.7,Ewallet
Home and lifestyle,61,1,3.05,64.05,Cash
Sports and travel,24,10,12,252,Cash
Health and beauty,93,1,4.65,97.65,Credit card
Home and lifestyle,87,5,21.75,456.75,Ewallet
Sports and travel,23,6,6.9,144.9,Ewallet
Electronic accessories,30,8,12,252,Ewallet
Fashion accessories,67,7,23.45,492.45,Ewallet
Fashion accessories,49,9,22.05,463.05,Cash
Electronic accessories,76,9,34.2,718.2,Cash
Home and lifestyle,77,4,15.4,323.4,Cash
Sports and travel,93,2,9.3,195.3,Credit card
Electronic accessories,50,4,10,210,Cash
Health and beauty,18,1,0.9,18.9,Cash
Fashion accessories,62,10,31,651,Ewallet
Health and beauty,11,8,4.4,92.4,Ewallet
Electronic accessories,40,10,20,420,Credit card
Sports and travel,65,5,16.25,341.25,Credit card
Electronic accessories,95,1,4.75,99.75,Cash
Electronic accessories,49,8,19.6,411.6,Cash
Food and beverages,53,8,21.2,445.2,Ewallet
Fashion accessories,45,7,15.75,330.75,Cash
Food and beverages,34,8,13.6,285.6,Ewallet
Health and beauty,96,4,19.2,403.2,Credit card
Food and beverages,47,5,11.75,246.75,Credit card
Electronic accessories,53,4,10.6,222.6,Ewallet
Home and lifestyle,48,2,4.8,100.8,Credit card
Sports and travel,10,1,0.5,10.5,Cash
Health and beauty,69,3,10.35,217.35,Cash
Sports and travel,60,7,21,441,Credit card
Sports and travel,22,4,4.4,92.4,Credit card
Health and beauty,72,9,32.4,680.4,Credit card
Fashion accessories,41,3,6.15,129.15,Credit card
Electronic accessories,65,10,32.5,682.5,Cash
Electronic accessories,74,10,37,777,Credit card
Electronic accessories,11,8,4.4,92.4,Cash
Health and beauty,63,4,12.6,264.6,Cash
Sports and travel,12,8,4.8,100.8,Cash
Health and beauty,91,1,4.55,95.55,Ewallet
Home and lifestyle,41,7,14.35,301.35,Ewallet
Fashion accessories,52,1,2.6,54.6,Cash
Fashion accessories,39,5,9.75,204.75,Ewallet
Sports and travel,45,6,13.5,283.5,Credit card
Electronic accessories,56,10,28,588,Cash
Sports and travel,29,6,8.7,182.7,Ewallet
Fashion accessories,52,3,7.8,163.8,Cash
Electronic accessories,60,1,3,63,Cash
Sports and travel,39,2,3.9,81.9,Credit card
Food and beverages,15,2,1.5,31.5,Credit card
Fashion accessories,21,1,1.05,22.05,Cash
Electronic accessories,94,3,14.1,296.1,Credit card
Electronic accessories,73,1,3.65,76.65,Ewallet
Sports and travel,22,1,1.1,23.1,Credit card
Food and beverages,73,9,32.85,689.85,Cash
Fashion accessories,99,6,29.7,623.7,Cash
Fashion accessories,74,1,3.7,77.7,Cash
Fashion accessories,98,2,9.8,205.8,Ewallet
Health and beauty,53,7,18.55,389.55,Ewallet
Electronic accessories,53,10,26.5,556.5,Ewallet
Health and beauty,96,5,24,504,Ewallet
Fashion accessories,37,9,16.65,349.65,Cash
Food and beverages,21,8,8.4,176.4,Cash
Home and lifestyle,28,4,5.6,117.6,Cash
Health and beauty,58,6,17.4,365.4,Cash
Food and beverages,48,9,21.6,453.6,Cash
Home and lifestyle,86,1,4.3,90.3,Ewallet
Sports and travel,13,2,1.3,27.3,Ewallet
Home and lifestyle,11,9,4.95,103.95,Credit card
Home and lifestyle,51,7,17.85,374.85,Cash
Electronic accessories,80,3,12,252,Cash
Health and beauty,34,3,5.1,107.1,Ewallet
Sports and travel,91,8,36.4,764.4,Credit card
Health and beauty,63,2,6.3,132.3,Ewallet
Food and beverages,24,3,3.6,75.6,Credit card
Sports and travel,65,4,13,273,Ewallet
Food and beverages,25,7,8.75,183.75,Credit card
Fashion accessories,57,1,2.85,59.85,Ewallet
Electronic accessories,21,10,10.5,220.5,Cash
Sports and travel,89,6,26.7,560.7,Cash
Home and lifestyle,23,4,4.6,96.6,Credit card
Home and lifestyle,65,8,26,546,Ewallet
Fashion accessories,52,1,2.6,54.6,Cash
Electronic accessories,40,1,2,42,Cash
Electronic accessories,90,8,36,756,Credit card
Electronic accessories,12,8,4.8,100.8,Ewallet
Food and beverages,33,10,16.5,346.5,Ewallet
Fashion accessories,10,8,4,84,Credit card
Sports and travel,32,10,16,336,Credit card
Home and lifestyle,34,6,10.2,214.2,Ewallet
Food and beverages,83,2,8.3,174.3,Cash
Sports and travel,46,7,16.1,338.1,Cash
Food and beverages,88,1,4.4,92.4,Ewallet
Electronic accessories,73,10,36.5,766.5,Ewallet
Fashion accessories,12,8,4.8,100.8,Ewallet
Sports and travel,77,10,38.5,808.5,Ewallet
Health and beauty,84,5,21,441,Cash
Electronic accessories,58,8,23.2,487.2,Cash
Fashion accessories,92,5,23,483,Credit card
Electronic accessories,28,5,7,147,Cash
Electronic accessories,50,6,15,315,Credit card
Health and beauty,99,8,39.6,831.6,Credit card
Fashion accessories,61,7,21.35,448.35,Ewallet
Food and beverages,47,6,14.1,296.1,Cash
Health and beauty,86,7,30.1,632.1,Cash
Food and beverages,35,9,15.75,330.75,Ewallet
Electronic accessories,45,9,20.25,425.25,Credit card
Home and lifestyle,46,4,9.2,193.2,Ewallet
Health and beauty,28,5,7,147,Credit card
Food and beverages,12,7,4.2,88.2,Cash
Health and beauty,58,2,5.8,121.8,Ewallet
Home and lifestyle,78,4,15.6,327.6,Cash
Health and beauty,85,10,42.5,892.5,Credit card
Health and beauty,83,5,20.75,435.75,Credit card
Food and beverages,80,2,8,168,Ewallet
Home and lifestyle,49,10,24.5,514.5,Credit card
Food and beverages,29,3,4.35,91.35,Credit card
Electronic accessories,56,4,11.2,235.2,Ewallet
Home and lifestyle,93,8,37.2,781.2,Cash
Fashion accessories,51,8,20.4,428.4,Ewallet
Food and beverages,100,3,15,315,Cash
Electronic accessories,35,6,10.5,220.5,Cash
Sports and travel,43,1,2.15,45.15,Credit card
Fashion accessories,95,4,19,399,Cash
Home and lifestyle,69,3,10.35,217.35,Ewallet
Electronic accessories,26,3,3.9,81.9,Ewallet
Home and lifestyle,36,9,16.2,340.2,Credit card
Home and lifestyle,16,6,4.8,100.8,Cash
Home and lifestyle,13,2,1.3,27.3,Credit card
Sports and travel,83,7,29.05,610.05,Credit card
Sports and travel,35,6,10.5,220.5,Ewallet
Electronic accessories,14,4,2.8,58.8,Ewallet
Sports and travel,88,1,4.4,92.4,Credit card
Health and beauty,40,9,18,378,Credit card
Electronic accessories,88,9,39.6,831.6,Credit card
Sports and travel,25,2,2.5,52.5,Ewallet
Home and lifestyle,100,6,30,630,Ewallet
Fashion accessories,83,2,8.3,174.3,Credit card
Food and beverages,74,10,37,777,Ewallet
Health and beauty,64,7,22.4,470.4,Ewallet
Home and lifestyle,63,6,18.9,396.9,Ewallet
Home and lifestyle,86,3,12.9,270.9,Ewallet
Health and beauty,79,7,27.65,580.65,Ewallet
Sports and travel,89,5,22.25,467.25,Cash
Health and beauty,92,3,13.8,289.8,Cash
Food and beverages,57,6,17.1,359.1,Ewallet
Food and beverages,67,4,13.4,281.4,Ewallet
Fashion accessories,100,9,45,945,Cash
Home and lifestyle,46,10,23,483,Ewallet
Health and beauty,51,5,12.75,267.75,Credit card
Health and beauty,10,7,3.5,73.5,Cash
Electronic accessories,94,7,32.9,690.9,Credit card
Electronic accessories,84,2,8.4,176.4,Credit card
Fashion accessories,54,1,2.7,56.7,Ewallet
Home and lifestyle,36,5,9,189,Ewallet
Food and beverages,26,8,10.4,218.4,Ewallet
Health and beauty,40,3,6,126,Ewallet
Home and lifestyle,22,3,3.3,69.3,Ewallet
Food and beverages,63,4,12.6,264.6,Ewallet
Food and beverages,21,4,4.2,88.2,Cash
Home and lifestyle,66,6,19.8,415.8,Cash
Fashion accessories,43,7,15.05,316.05,Cash
Food and beverages,50,9,22.5,472.5,Cash
Electronic accessories,46,6,13.8,289.8,Cash
Home and lifestyle,16,10,8,168,Cash
Food and beverages,99,9,44.55,935.55,Cash
Fashion accessories,92,1,4.6,96.6,Cash
Electronic accessories,21,2,2.1,44.1,Cash
Fashion accessories,16,1,0.8,16.8,Credit card
Electronic accessories,97,3,14.55,305.55,Cash
Food and beverages,33,2,3.3,69.3,Credit card
Electronic accessories,38,2,3.8,79.8,Credit card
Home and lifestyle,33,9,14.85,311.85,Ewallet
Home and lifestyle,81,3,12.15,255.15,Credit card
Health and beauty,16,3,2.4,50.4,Cash
Electronic accessories,34,5,8.5,178.5,Credit card
Food and beverages,85,10,42.5,892.5,Credit card
Home and lifestyle,37,7,12.95,271.95,Ewallet
Electronic accessories,87,7,30.45,639.45,Cash
Home and lifestyle,80,3,12,252,Cash
Fashion accessories,86,2,8.6,180.6,Cash
Fashion accessories,50,2,5,105,Credit card
Food and beverages,75,4,15,315,Cash
Food and beverages,27,6,8.1,170.1,Ewallet
Electronic accessories,25,1,1.25,26.25,Credit card
Food and beverages,68,1,3.4,71.4,Credit card
Food and beverages,60,4,12,252,Cash
Health and beauty,58,4,11.6,243.6,Cash
Sports and travel,97,9,43.65,916.65,Ewallet
Health and beauty,100,7,35,735,Cash
Electronic accessories,96,7,33.6,705.6,Cash
Fashion accessories,64,5,16,336,Ewallet
Health and beauty,15,2,1.5,31.5,Ewallet
Health and beauty,62,8,24.8,520.8,Credit card
Electronic accessories,82,10,41,861,Ewallet
Health and beauty,75,8,30,630,Credit card
Food and beverages,57,5,14.25,299.25,Credit card
Sports and travel,77,10,38.5,808.5,Ewallet
Electronic accessories,58,2,5.8,121.8,Ewallet
Fashion accessories,17,10,8.5,178.5,Ewallet
Electronic accessories,61,1,3.05,64.05,Ewallet
Health and beauty,40,1,2,42,Ewallet
Home and lifestyle,97,10,48.5,1018.5,Ewallet
Food and beverages,32,1,1.6,33.6,Cash
Home and lifestyle,66,1,3.3,69.3,Cash
Fashion accessories,88,7,30.8,646.8,Cash
